Store,Item Name,Price,Units,Unit Price,Amount,Tags,In Stock,Image
Giant Eagle,Smucker's Uncrustables Peanut Butter & Grape Jelly Sandwich,$11.89 ,,,10 ct,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_e422dc54-cecd-482a-b193-94b3f935304c.jpg,"
Giant Eagle,Stouffer's Roast Turkey,$4.19 ,,,9.63 oz,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_cf6f61ff-2020-4856-bb23-b14ac82ae8d6.jpg,"
Giant Eagle,Smucker's Uncrustables Peanut Butter & Grape Jelly Sandwich,$4.79 ,,,4 x 2 oz,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_6f7892fd-1522-46f8-98d4-d823594bd706.jpg,"
Giant Eagle,"Hearth & Fire Premium Pizza, The Pepperoni",$14.69 ,,,19.9 oz,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_4abd3b4c-6023-4725-9770-a73c9ab5af18.jpg,"
Giant Eagle,Red Baron Frozen Pizza Classic Crust Pepperoni,$7.69 ,,,20.6 oz,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_fb80c7a2-efbc-4696-ab3b-89da2b9259be.jpg,"
Giant Eagle,Lean Cuisine Cheese & Spinach Ravioli,$4.19 ,,,8 oz,[],Many in stock,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_b4cca3fa-737f-492b-973c-7da2a80e4132.jpg,"
Giant Eagle,Marie Callender's Chicken Pot Pie Frozen Meal,$3.99 ,,,10 oz,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_13b42b49-f1c2-46c3-92d2-9350fc0a5540.jpg,"
Giant Eagle,"Hearth & Fire Premium Pizza, The Margherita",$14.69 ,,,17.2 oz,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_1733e649-4ba5-4fe3-95b5-4b97f05c0711.jpg,"
Giant Eagle,Stouffer's Creamed Chipped Beef,$4.19 ,,,11 oz,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_0fae37f7-6b58-4f18-9d34-e2d270c578b4.jpg,"
Giant Eagle,Mrs. T's Classic Cheddar,$7.39 ,,,32 oz,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_3e398771-b625-4b6b-8d6a-d215f5679380.jpg,"
Giant Eagle,"Marie Callender's Classic Chicken Parmigiana Bowl, Frozen Meal",$3.49 ,,,12.5 oz,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_2004be75-0ed1-453d-b0e9-b6a188fb1a0b.jpeg,"
Giant Eagle,"Hearth & Fire Premium Pizza, The Mushroom",$14.69 ,,,18.7 oz,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_27ac3015-2fae-4886-a63d-2d4d04e7d030.jpg,"
Giant Eagle,Lean Cuisine Features Vermont White Cheddar Mac And Cheese Frozen Entrée,$4.19 ,,,8 oz,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_e3f70207-1727-4966-94b7-c724e009a190.jpg,"
Giant Eagle,Red Baron French Bread Singles Pepperoni Pizzas,$4.79 ,,,10.8 oz,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_7f36881c-85f0-421d-bb48-2b84a69814a2.jpg,"
Giant Eagle,Stouffer's Classic Meatloaf Frozen Meal,$4.19 ,,,9.88 oz,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_4a22ddc6-c453-4f54-ba30-13d038a088a4.jpg,"
Giant Eagle,Birds Eye Voila! Garlic Chicken Frozen Meal,$6.69 ,,,21 oz,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_3d9a3fff-fa04-4d7f-955e-96a7c4987541.jpg,"
Giant Eagle,Marie Callender's Garden Tomato Four Cheese Ravioli Bowl Frozen Meal,$3.49 ,,,11 oz,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_5a533f71-6c94-4712-acbd-04267f440e0c.jpeg,"
Giant Eagle,Stouffer's Stouffer’S Stuffed Pepper Frozen Dinner,$4.19 ,,,10 oz,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_88a41540-6b20-45dd-be79-6c92b18ea98e.jpg,"
Giant Eagle,Stouffer's Lasagna With Meat & Sauce Frozen Meal,$4.19 ,,,10.5 oz,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_f43382f2-44f7-48c8-8d89-2bdcf803d58d.jpg,"
Giant Eagle,Birds Eye Voila! Alfredo Chicken Frozen Meal,$6.69 ,,,21 oz,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_0c36ac87-cf88-401b-87fa-5b390e4cadad.jpg,"
Giant Eagle,California Pizza Kitchen Margherita Recipe Crispy Thin Crust Frozen Pizza,$10.49 ,,,15.5 oz,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_a46bbaba-69d8-40fd-aa3b-4581f05732a4.jpg,"
Giant Eagle,Stouffer's Classics Salisbury Steak Frozen Entrée,$4.19 ,,,9.63 oz,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_5bebbb34-b0b7-406b-975b-14be69bc44b4.jpg,"
Giant Eagle,White Castle Cheeseburger Castle Bites,$5.79 ,,,18 oz,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_8789022d-7562-48e4-8d3f-2a9d3ba5f04e.png,"
Giant Eagle,Birds Eye Voila! Garlic Chicken Frozen Meal,$10.29 ,,,42 oz,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_17fa11f4-1def-40bd-bb1f-32481bcab84f.jpg,"
Giant Eagle,Banquet Chicken Pot Pie Frozen Pot Pie Dinner,$1.59 ,,,7 oz,[],Likely out of stock,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_ea1ec8f3-17f8-463d-bda8-3cec7f526817.jpg,"
Giant Eagle,El Monterey Beef & Bean Burrito,$6.69 ,,,2 lb,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_6308a0bc-b32b-44e6-a4e1-423a8c3726a2.png,"
Giant Eagle,Boston Market Chicken Pot Pie,$3.99 ,,,16 oz,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_0a333153-d6a4-4344-996d-ab73e4ef4843.jpg,"
Giant Eagle,"P.F. Chang's Beef with Broccoli Skillet Meal, Frozen Meal",$9.99 ,,,22 oz,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_8e58a3ae-8337-4c1c-abca-486ecf96e3ef.jpg,"
Giant Eagle,Red Baron Classic Crust Four Cheese Pizza,$7.69 ,,,21.06 oz,[],Many in stock,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_2e583606-8f38-42ca-bd87-5823152d36ed.jpg,"
Giant Eagle,El Monterey Extra Crunchy Taco Seasoned Beef & Cheese Taquitos,$9.79 ,,,18 each,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_c80872f2-5003-49b3-9f83-951eaf69d222.png,"
