Store,Item Name,Price,Units,Unit Price,Amount,Tags,In Stock,Image
CVS®,Hostess Powdered DONETTES Bag Powdered Sugar Mini Donuts,$4.79,,,10.5 oz,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_d57cdc65-1fca-48d6-82a2-623567dedeeb.jpg,"
CVS®,Hostess Donettes Frosted Mini Donuts,$4.79,,,10.75 oz,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_5a0a64ff-716a-4898-ba81-33833ee26be5.jpg,"
CVS®,"Chester's Fries Corn & Potato Snacks, Flamin' Hot Flavored",$2.69,,,3.63 oz,['Gluten-Free'],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_27b9c8fb-297a-47d9-84a1-ba2b7656a42c.png,"
CVS®,Ritz Fresh Stacks Original Crackers,$5.49,,,8 x 1.48 oz,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_2f87bf55-29b3-44fc-a625-f37c626ab5b2.jpg,"
CVS®,Angie's BOOMCHICKAPOP Sweet & Salty Kettle Corn Popcorn,$4.49,,,7 oz,"['Gluten-Free', 'Low Fat']",,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_a68e2cff-ade6-4467-9851-ecbf8d7fb941.jpg,"
CVS®,"Sun Chips Flavored Whole Grain Snacks, Harvest Cheddar",$4.79,,,7 oz,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_8234d27e-8354-4737-ab06-6850a702e45a.png,"
CVS®,"Kellogg's Rice Krispies Treats Crispy Marshmallow Squares, Kids Snacks, Snack Bars, Original",$4.79,,,8 ct,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_ba8974d9-5b14-49b5-80e8-1dc243babc44.jpg,"
CVS®,"Dum Dums Original Mix Lollipops, Assorted Flavor Candy",$4.99,,,10.4 oz,['Gluten-Free'],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_48ac09c5-0c58-44f9-9283-182158bd711c.jpg,"
CVS®,"NERDS Candy, Gummy Clusters, Rainbow",$6.29,,,8 oz,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_2d0b3396-9209-49f4-965b-ed2b4bdc2c6e.jpg,"
CVS®,Flipz White Fudge Covered Pretzels,$4.99,,,7.5 oz,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_e12c8ff7-5d3e-4f3b-8fc1-f3439ddb3dff.jpg,"
