Store,Item Name,Price,Units,Unit Price,Amount,Tags,In Stock,Image
Costco,"King's Hawaiian Sweet Rolls, 32 ct",$7.99,,,32 ct,[],,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_454bef00-c556-40c8-957a-9e28e4853449.jpg,"
Costco,"Kirkland Signature Shredded Mexican Style Blend Cheese, 2 x 2.5 lbs",$14.99,,,2 x 2.5 lb,['Keto'],Many in stock,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_55c2be1f-981c-4bc1-b017-6e5e01cac220.jpg,"
Costco,"Kirkland Signature Fully-Cooked Bacon, Hickory Wood Smoked, 1 lb",$15.59,,,16 oz,[],Many in stock,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_ff23b8c3-acdb-4a96-a088-8be114aa3b6f.jpg,"
Costco,"Just Bare Chicken Breast Chunks, 64 oz",$21.99,,,64 oz,[],,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_952356c2-6ca9-4493-9d1a-609dc358d863.jpg,"
Costco,"Sabatasso's Pizza Singles Variety Pack, 12 ct",$15.59,,,12 ct,[],Many in stock,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_e571d263-81cd-4b54-955c-345bc989e6a9.jpeg,"
Costco,"Kirkland Signature Organic Coconut Water, 11.1 fl oz, 12 ct",$13.99,,,12 x 11.1 fl oz,['Organic'],Many in stock,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_ab1e84ee-af7d-451b-9e3e-4a5d4de1f800.jpg,"
Costco,"Kirkland Signature Organic Creamy Peanut Butter, 28 oz, 2 ct",$13.99,,,2 x 28 oz,['Organic'],Many in stock,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_90896642-5bdd-4210-a033-299108e57de5.jpg,"
Costco,"Premium Floral Bouquet, Assorted Varieties",$20.99,,,1 each,[],,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_43d66884-1e62-49dc-8dbd-e528e61db1c8.jpg,"
Costco,"Kirkland Signature Organic Chicken Stock, 6 x 946 ml",$11.99,,,6 x 946 ml,['Organic'],Many in stock,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_e6ddd1b3-82a9-435d-ba03-9bebcd76f807.jpeg,"
Costco,"Kirkland Signature Organic Blueberries, 3 lbs",$9.69,,,3 lb,[],Many in stock,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_a7d54fe4-89b3-468d-a4b3-d0fb1a03d16c.jpg,"
