Store,Item Name,Price,Units,Unit Price,Amount,Tags,In Stock,Image
Costco,"Kirkland Signature Purified Drinking Water, 16.9 fl oz, 40-count",$4.99,,,40 ct,[],Many in stock,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_1a9b19da-b93d-4976-85fb-bc16893f90fe.jpeg,"
Costco,"Bananas, 3 lbs",$1.89,,,,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_e62cd12c-531a-41fe-b662-e4f97725298f.jpeg,"
Costco,"Kirkland Signature Bath Tissue, 2-Ply, 380 Sheets, 30 Rolls",$24.99,,,,[],Many in stock,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_81231011-5270-44cf-a398-c0e19145a8c1.jpeg,"
Costco,"Downy Ultra Concentrated HE Fabric Softener, April Fresh, 251 Loads, 170 fl oz",$16.99,,,170 fl oz,['Fresh'],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_68597bcf-c08a-46d2-9007-b7c8934e6dd8.jpeg,"
Costco,"Dawn Platinum Advanced Power Liquid Dish Soap, 90 fl oz",$14.99,,,90 fl oz,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_e8e8e131-3429-42aa-8059-3c6ca90ac6fa.jpeg,"
Costco,Kirkland Signature Rotisserie Chicken,$5.99,,,1 each,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_5a325f60-61d7-4434-ba19-f040a69fc5ac.jpeg,"
Costco,"Kirkland Signature Paper Towels, 2-Ply, 160 Sheets, 12 Individually Wrapped Rolls",$24.99,,,12 ct,[],Many in stock,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_23706cbf-9843-450d-a6f2-c3413ae718bb.jpeg,"
Costco,"Kirkland Signature Eggs, Large, 24-count",$5.99,,,,['Cage-Free'],Many in stock,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_7fda5190-67ba-42ab-9e2b-eeb1574c71f5.jpeg,"
Costco,"Downy Fresh Protect In-Wash Odor Defense Scent Booster Beads, April Fresh, 34 oz",$21.09,,,"★★★★★
★★★★★
(1.83K)",['Fresh'],Many in stock,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_77145742-cb49-4476-9060-99d8233a9eeb.jpeg,"
Costco,Amara Organic Yogurt Smoothie Melts 4 (1 oz.) Bags Per Box,$16.99,,,4 ct,['Organic'],Many in stock,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_d289f945-7591-4133-a051-a4334721b43a.jpeg,"
Costco,"Kirkland Signature Baby Wipes Fragrance Free, 900-count",$24.99,,,,[],Many in stock,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_7904c092-6d91-41cc-b734-873b66301163.jpeg,"
Costco,"Kirkland Signature Butter Croissants, 12-count",$7.49,,,,[],Many in stock,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_4ce482c1-5509-4122-9dcf-5c70f6b702e2.jpeg,"
Costco,"Organic Baby Spinach, 1 lb",$5.39,,,1 each,"['In season', 'Organic']",Many in stock,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_b937ac32-0a90-4ab7-a03d-901d5382e5f3.jpeg,"
Costco,"Liquid I.V. Sugar-Free Hydration Multiplier, Lemon Lime, 24-count",$35.99,,,,['Zero Sugar'],Many in stock,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_250d6968-ae0d-4318-9795-ee91e75f958e.jpeg,"
